tweets,sentiment
"@kejO_Online @gojekindonesia Makanya bingung sama yg ngeluh pake itung2an 70rb x 30 hari = 2,1 jt. padahal program ini jelas2 program darurat, buat yg selama pandemi gacor ya jgn egois. semoga @gojekindonesia mendengarkan keluh kesah pembagian order dari para driver 🙏",0
"@cancansanti Iya, via halodoc. 
- Klik tes covid
- Pilih jam (dibagi 3 sesi pagi, siang, sore) kalo kuota penuh coba lagi besoknya
- Upload KTP
- Dapet kode booking gitu (detail pemesanan)
- Dateng deh ke tempat dn ikutin arahan team yg di sana. https://t.co/v8a71nIGTd",1
@kompascom Disaat masyarakat gak aman akan wabah pandemik global akibat covid-19 ditambah lagi gak aman akan napi yang dibebaskan yang suatu saat akan membuat tindak kriminal lagi ... Gimana pendapat kalian ges?,0
"3.Kepala BBPOM di Jakarta, Drs. Safriansyah, Apt, M.Kes merespon dampak pandemi dengan menginisiasi kegiatan pengumpulan donasi oleh pegawai BBPOM di Jakarta. - https://t.co/rzc2d2sLDS",2
Pangeran Philip Keluarkan Pernyataan Langka Terkait Covid-19 https://t.co/3UyD95PbUU #VirusCorona,1
"@traveloka Hemmmm.... 
Apalagi suasana Foodstreet kaya di Bangkok atau Osaka.... 
Thn kmrn dapet promo dr Traveloka, abis Covid berlalu ditunggu min diskonan nya... 😗😗",1
"Target lainnya yang dieksekusi oleh tim adalah Bapak Alamasyah. Seorang penjaja koran jalanan berusia 40 tahun. Beliau biasa berjualan koran di lampu merah sekitaran Jalan Proklamasi dan lampu merah Matraman. Sejak wabah merebak, penghasilan beliau menurun drastis.",0
Tim relawan mahasiswa di Kabupaten Gowa melanjutkan penyemprotan disinfektan untuk mencegah penyebaran Corona. Total sudah ada 139 tempat. https://t.co/RncruRCOAd,2
"Meski #dirumahaja tapi Sahabat tetap bisa menikmati lezatnya makanan dari Sailendra Restaurant - JW Marriott Hotel Jakarta loh. Yuk pesan delivery service dengan #mandiridebit atau #mandiricard, cek info lengkapnya di  https://t.co/R0AqlZijrT  … https://t.co/URg3xuupdw",2
"@FuadIbnuAziz Meski musim covid, Ramadhan kali ini akan menjadi yang terbaik &gt;&gt; #Puasa1441HSemangat1453M &lt;&lt; di Jakarta juga lagi trending #CintaRasulCintaRamadhan ayo didukung #hvfw &lt;&lt; https://t.co/FxR2DDlcwq",2
Pihak Cina Tolak Tuduhan Virus Corona Berasal dari Laboratorium di Wuhan https://t.co/2WEryTV1ZW,1
Balada PSBB: Kami Bukannya Tidak Takut Covid-19 https://t.co/5CaVJ3Lejf,0
@Dennysiregar7 @CakL1571 #RelawanUntukNegeri siap beraksi melawan Covid-19 dan Covidrun-212 https://t.co/lvypLVshm6,2
"Kangen nge gym dan Zumbaaaa.

Ayolah segera berakhir pandemi ini, aku bosan workout di kamar muluk 😑😑😑😑",1
"Selamat berbuka bagi yang menjalankan ibadah puasa
#dirumahaja #RamadanMubarak #Bukapuasa https://t.co/k8DeM6T7Oe",1
@prassmanan musim corona gini bikin beberapa orang jadi deket sama kelaparan,0
"@DKIJakarta @SunGoko52260756 @DinsosDKI1 Anehx tuh kkatax kumpulin data ktp dki dr 10 thn yg lalu. yg dpt bansos pun rata2 dah bercukupan pnya rmh ,kontrakan n mobil. Trs pengontrak yg ktp dki pun bnyk gk dpt, Lah emg 10 thn yg lalu dah ada corona apa y.",0
@astarte2017 Hebat kan Indonesia bisa mengeskpor komoditas rumput laut ke Korsel meski.sitkon pandemi global.begini.,2
"Selain baca, nonton film atau series bagus.. Kegiatan positive apa buat ngisi self quarantine? — Belajar masak dg resep mudah yang ada diytb2 ituloh https://t.co/W1r4zxr2Qj",2
@AlterBaseRated Kapan corona selesaii w ingin:(,0
Komunitas Motor Klasik Tangerang Bagikan Makanan untuk Buka Puasa #kabaroto #tangerang #bukapuasa https://t.co/48PhqDzMJy,2
"Corona udahan plis, w kgn mekdi:( https://t.co/xacfU8hM1D",0
"Waspada! Ahli mengatakan Indonesia akan terkena gelombang virus corona kedua yang bisa menyerang lebih banyak korban. 

https://t.co/R93LPVyN2R",1
WhatsApp memperkenalkan sederet sticker bertema social distancing terkait dengan karantina pandemi COVID-19 yang sedang berlangsung di seluruh dunia. #WhatsApp https://t.co/L7vavg9G2q,1
"corona aja yang udahan
aku kamu jangan 👉👈",1
"Harus di tagih, meski di negeri ini sudah terbiasa pemimpin/pejabat obral janji, ngomong aja apa yg mau di omongi, soal realisasi itu urusan nanti.
https://t.co/0wGfuatT12",0
"Jadi, bagi saya, apa yang terjadi hari ini adalah: neoliberalisme sudah purna-tugas, kapital butuh bentuk yang lain untuk kelangsungan hidupnya. 

https://t.co/EmLM4FvxbB",0
"NEGARA ACEH-🇺🇸🇬🇧🇲🇫🇯🇵🇸🇬🇲🇾🇹🇷🇸🇦🌏: Demi Konstitusi ! Kami Merespon, Anda Presiden @realDonaldTrump-Presiden @EmmanuelMacron-PM @BorisJohnson-Sekjen @antonioguterres-Raja Arab @KingSalman: Mendorong Bentuk Tim Investigasi, Penyelidikan Virus Corona #COVID19 Laboratorium Virus China. https://t.co/Hh1jKEx8nr https://t.co/2pFc3g1JGG",0
Semoga pandemi ini berakhir...,2
Kiat Jovee Hadapi COVID-19 di Bulan Puasa https://t.co/gORGUepUm3 https://t.co/q386WtqmUB,1
Jalanan uda rame bgt ky ga ada corona,1
Untung aja ank pondok mah ngak ada tugas aman terkendali...... Buat yang formal semangat yah wkwkwkw #dirumahaja #mutualan #Mutualankuy #MutualanIG #mutualanIGkuy #Ramadhan #RamadhanTerakhirTanpaKhilafah #ramadhan2020 #santri #santrikeren #pesantren,2
@goldstein_cr Ia ini. Stres gegara corona kali🙄🙄🙄,0
"Yakinlah
""habis gelap terbitlah terang""

Memperingati Hari Kartini 21 April

#mask4all #MaskerUntukSemua #stayhome #dirumahaja #kirimpaket #motorcycle #jasaexpedisi #kirimbarang #logistics #courierandcargo

Tracking paket :
https://t.co/sGN2IiWtje https://t.co/A00900DiRi",2
"Sakit karena Covid-19, Dokter di Wuhan Dapati Kulit Mereka Menghitam https://t.co/fHGbKiMsiq via @YouTube",1
"Dari rumah terdengar suara sirine ambulance dan semakin dekat, kepikirannya jangan2 jemput pasien Covid 😢😢",0
"@Lilin_Suci Ga berlaku kakting , punten🙏
Nilai ku auto a lewat jalur corona kok",1
Gates Foundation Tegaskan Komitmen Bantu Tangani Pandemi Corona https://t.co/AI1ltwljl2,2
"Catatkan Nol Kasus Baru Covid-19 Selama 8 Hari Berturut-turut, Ini Rahasia Vietnam - https://t.co/NaYEUfSWSV https://t.co/afm1qnhnCq",1
@quinnxaraa Semoga virus Corona cepat hilang,2
"Di masa wabah ini
Semoga kita bersemangat dalam Beribadah dan berdoa
Semoga Corona segera berlalu.
Ketaatan pada syariat semakin menggebu &gt;&gt; Ramadhan Kita Istimewa &lt;&lt; #PejuangRamadhanLawanCorona
#RamadhanDiJakarta
 https://t.co/PqkpXHPMh4",2
"Tolong dipermudah min, mengingat saya taat pajak tp krn Wabah covid19 jd terbatas ruang gerak saya
Harusnya jika ada Esamsat, dipermudah juga untuk bisa mengirimkan bukti pembayaran pajaknya (lembar pajak) di stnk ke alamat sesuai Stnk
Cc bapak @ridwankamil @pemkotbekasi",1
"Bukan Ingin Jabatan, @PeterGontha Puji Kehebatan J
@jokowi Pimpin Ratas Atasi COVID-19 https://t.co/9n1iyq0PW8",1
"Inilah suasana hari perdana Lumbung Pangan Jatim yang digelar di Jatim Expo, Selasa (21/4). Pembeli diatur berjarak, di cek suhu tubuh dengan thermal gun, dikasih hand sanitizer  agar terhindar dari transmisi Covid-19. https://t.co/BuaAnBdnTu",1
"Angka Virus Corona Covid-19 Diprediksi Terus Turun, Rakyat Indonesia Diharapkan Bisa Hidup Normal Lagi Juli 2020 https://t.co/HznIKp1kgR",2
"Banyak orang bertanya-tanya kapan wabah corona berakhir, ahli sebutkan kalau Indonesia belum mencapai puncak wabah corona. Puncaknya akan dimulai pada awal Mei dan bisa mencapai 95.000 kasus.

https://t.co/zNHHjUUdbU",1
"Psbb dibuat untuk Cegah Penyebaran Covid-19 di Indonesia. 

#psbb #socialdistancing #LinescomLawanCovid19 #covid19 #viruscorona #indonesia #jakarta #stayhome #workfromhome https://t.co/hNe7lTNoJL",2
@RAgust23 Tetap senyum meski corona😄,2
"Berikut Pedoman Operasional Regional tentang Penyediaan Layanan SRMNCAH (Sexual, Reproductive, Maternal, Newborn, Child, Adolescent Health) selama COVID-19 yang dikeluarkan oleh WHO-UNFPA-UNICEF.

bisa diunduh disini:
https://t.co/TPIXsLCtiY",1
"Para kader Partai Demokrat Kota Bandar Lampung dan D'Blue Laundry (usaha kerakyatan binaan PD) membagikan masker dan vitamin kepada warga utk mengantisipasi penyebaran Covid-19.
#demokratlawancorona https://t.co/Z2nd4KNIcf",2
Dulu sebelum ada Corona walaupun dia cuma supir angkot tapi dia selalu ngirim uang sebulan sekali. Gua ngerasa gagal bgt gua gak bisa kasih apa2 ke bokap. Tabungan udah abis Krn pas awal Corona masuk gua sempet dirawat 2x. Bahkan ini baru masuk kerja 2hari,0
DPR: Prioritaskan Tes PCR untuk Memutus Penyebaran Covid-19 https://t.co/S2GaYdL3d4,1
"Simak! Ditjen Pajak (DJP) merilis pengumuman perpanjangan waktu pelayanan perpajakan tanpa tatap muka.
Yuk baca berita selengkapnya di sini https://t.co/K98s6xUi3b

#pelayanan #pelayananlangsung #DitjenPajak #DJP #corona #covid19 https://t.co/kTie4k3E6r",1
"@eecaaaaa_ Pulsa
Semoga rezekinya lancar terus corona cepat hilang",2
Setelah potong botak ini mau coba ga potong rambut lagi sampe corona kelar.. mau tau kuat apa engga,1
"@doggudoggu yash, bagi pengidap rhinitis dan sinusitis era covid ini waspada dua kalilipat, antara alerginya kumat atau ada sesuatu yang lain..",0
"Kegiatan Pengangkutan Sampah Rw 01 (Bak AURI) Kel. Ujung Menteng, No. Pintu 1264 T/ B 9636 TOQ
jumat, 24 april 2020
@aniesbaswedan @Herwansyah @yogiikhwan @mmmulyana39 @dinaslhdki @SudinLHTimur 
#PSBBJakarta
#YukPakaiMasker
#Dirumahaja 
#LawanCovid19
#JakartaTanggapCorona https://t.co/0Geocgemjc",1
"Memprediksi perilaku virus SARS-CoV-2 berdasarkan karakteristik virus korona SARS dan MERS adalah tindakan sangat spekulatif.

#Opini #adadikompas
https://t.co/jmPIqhZid1",1
"Kapan pandemi ini berakhir? 

Timbul pertanyaan??",1
@dlqqk dampak covid19 ini,1
"Hadir lagi diskon 20% disetiap transaksi @mncshop menggunakan Kartu Kredit MNC Bank. Dan sebagai bentuk komitmen kami dalam memerangi covid-19, transaksinya hanya melalui Call Center MSHOP di 1-500-887.
#promokebut #mncshop #diskon20% #bikinmudah #punyakartu #promomncbank #mshop https://t.co/aXxKmd4ly3",1
"INGET!!! BULAN INI BOLEH BELI SKINCARE TAPI JANGAN BANYAK BANYAK!! LAGI PANDEMI, HARUS TAU DIRI!! GOBLOK BOLEH TAPI JANGAN DIBORONG SEMUA

-Dari aku
-Untuk diriku",0
Di suruh di rumah ajh ga boleh keluar2 jauh .. tapi kenapa orang yg positif covid 19 tambah bnyk yak ? Harus nya kan bisa berkurang bukan nya malah bertambah bnyk🤦🏻‍♀️🤦🏻‍♀️,1
"Dengan kemampuan seadanya, komunitas transpuan ini tidak menyangka bahwa aksi sosial yang mereka lakukan dapat berdampak positif bagi komunitasnya dan mendatangkan penerimaan dari masyarakat.

https://t.co/pmaPtpxfxg - Patresia Kirnandita #terkini #kartiniday #harikartini",2
"Mari berjuang bersama melawan Covid-19, dengan mematuhi arahan pemerintah dan disiplin menjaga kesehatan diri serta keluarga... 

#mask4all #Mudik #stayhome #dirumahaja #kirimpaket #motorcycle #jasaexpedisi #kirimbarang #logistics #courierandcargo

https://t.co/sGN2IiWtje https://t.co/gSq8PDBUuR",2
"@icecrreamm_ maret slesai klo gasalah deh, corona slesai kita main trs gua bakal story ttg dia dan someone 🤭",1
"Dirumah tetap punya investasi

#PROMO 
#LAWANCORONA #DIRUMAHAJA

*Buy at the Bad Times, Sell at the Good Times - Lo Kheng Hong*
(Indonesia's Warren Buffett)

Dapatkan promo

Info &amp; Booking Unit :
+62 877 819 666 54 https://t.co/PObw5eNekk",1
@_eanois @subtanyarl Gamau corona,0
"Yang namanya jagoan, dimana pun juga pasti nemu ide bagus. Duit transportnya? Ya investasiin aja, setuju nggak sobat MAMI?⁣⁣
⁣⁣
#SedikitDemiSebukit⁣⁣
#BikinUangKeringetan⁣⁣
#JagoKandang⁣⁣
#DiRumahAja",1
@PuteriSrimaya Semoga kita semua di lindungi Alloh dri segala wabah yang melanda dunia,2
Smoga pasien #Covid_19 sembuh semua 🙏🙏🙏 https://t.co/3RyrFle4z6,2
"Sebulan belakangan ini internet di rumah bikin kesal.

Kalau pagi lancar, giliran siang sampai malam lemot.

Sebelum ada ribut-ribut COVID-19 normal aja padahal. 😑",0
#HOAKS/FAKTA: 7 Anggapan pada COVID-19 #kabaroto #covid19 https://t.co/rzJJIi3zuL,1
"Tes Swab Corona di RSCM Kencana Bisa Dilakukan Drive Thru, Ini Alurnya https://t.co/LQjwm5gumm",1
"Pemprov Papua Barat siap memggelontorkan anggaran untuk penanganan dampak ekonomi akibat wabah covid-19 sebesar Rp197,8 miliar dalam bentuk bantuan bahan pangan.   https://t.co/1pGlamB0Pi",1
"Tegas menegakkan hukum ditengah pandemi Covid-19, Polri mendapat apresiasi dari DPR RI. #DPRRIApresiasiPolri.",2
"Anak 7 Tahun Positif Corona, Tertular Ayahnya yang Mengikuti Ijtima Ulama Gowa https://t.co/DRkyKojU1Y #LINETODAY",1
"Corona ciptaan Allah
Ramadhan mulia
Mudah bagi Allah hilangkan Corona ditengah Ramadhan &gt;&gt; #RamadhanKitaIstimewa &lt;&lt; di Jakarta juga lagi trending #RamadhanTerakhirTanpaKhilafah ayo didukung #p5a2 &lt;&lt; https://t.co/Q3akNVebq0",2
"Marhaban ya Ramadhan.
Mohon maaf lahir dan bathin🙇
Semoga Kita dapat melaksanakan Ibadah Puasa Ramadhan 1441 H / 2020 dalam keadaan sehat wal'afiat. Semoga wabah Covid -19 segera sirna dan tidak menyurutkan dalam… https://t.co/Sekexh58yh",2
pen kek gini skrg tp lg corona:( https://t.co/hLFjwnBmWj,0
Tai...lah. Banyak rakyat yg ngeluh ngga kebagian. Ngomong di jamban aja sana. Masa Pandemi begini bisa-bisanya pemerintsh cuman janji2 doang. https://t.co/QKvaEkBOEA,0
"@corraboy Selamat pagi. Terima kasih atas saran dan masukannya. Namun kebijakan perubahan layanan ini diambil untuk mengurangi rantai penyebaran virus COVID-19. Mari kita berperan aktif menjalankan Social Distancing, tetap jaga kesehatan dan hanya berpergian saat dibutuhkan ya :) -NV",2
Masker dibagikan terutama untuk pejuang keluarga yang belum bisa #dirumahaja. https://t.co/JEYwHVXeU3,2
Bahagia sesederhana dinas malam di non covid tak perlu pake apd lengkap🤗,2
"@D1msumn aku tau kok, aku kerumah nandaay nanti main kalo corona dah ilang yak",2
"Update Corona 21 April: Positif 7.135 Kasus, Pasien Sembuh Naik Signifikan https://t.co/Ts34DUQWGq https://t.co/Uw8eLcBZ8g",2
Agar Ramadhan Bersama Keluarga Tetap Bermakna di Tengah Pandemi Corona https://t.co/1nJV94dEnf https://t.co/iZjMZdv5VP,2
"Bantu Rakyat Terdampak Covid-19, Ini Aksi Nyata Wakil Ketua Komisi 1 DPR dari PKS https://t.co/seTkIYFbPH https://t.co/F3ONGhns0l",2
"2. Dompet Dhuafa berinisiatif membangun Fasilitas kesehatan kegawatdaruratan untuk pasien Covid-19. Mengapa RS Container? Krn RS Container, portable, ramah lingkungan, proses pembuatan cepat dan tahan lama. Ditempatkan di lahan wakaf yg luas di @RST_DD Parung, Bogor #CEKALCorona",2
"#BREAKING: Departemen Kesehatan Filipina mengatakan 16 pasien meninggal karena Covid-19 dalam 24 jam terakhir, menjadikan total 462 kematian",1
Pemerintah: Covid-19 Dapat Dicegah dengan Disiplin dan Gotong Royong #TauCepatTanpaBatas #BeritaTerkini #Berita #News #BeritaNasional . https://t.co/zd1yjhNRp3,1
"Curhat Dokter Corona di Sukabumi, Mandi 5 Kali Sehari hingga Jauh dari Keluarga",1
Ada kebahagiaan di setiap musibah ini.corona pergilah https://t.co/xvKWUJKcnH,2
"Akhirnya mudik lebaran tahun ini di larang, untuk pencegahan penyebaran covid 19 agar kasus baru di daerah tidak terus bertambah.🙄 https://t.co/MEDkI0VK7y",1
"""Ada yg nyumbang sayur ya itu menunya kadang ada yg nyumbang ikan ya itu menunya soalnya kita tdk ada dana nya"" kata Ust Uje.

Yuk bantu warga RT 01/05 kel Neroktog-Tangerang dalam menghadapi dampak corona.

Bagi yg ingn berpartisipasi bsa hub +62 817-0990-212 (Ust Uje) https://t.co/CDNz0QJ6GQ",2
"Gubernur Sulsel Keliling Daerah, Pantau Pencegahan dan Penanganan Covid-19 https://t.co/4RmEJTTO73 https://t.co/a3qf5bMqDm",2
"@covid19_indo 2. Aku kesal, ketika sudah pengangguran pun, aku gabisa pulang ke kampung. Setidak nya sandang pangan papan ku tercukupi disana bersama orang tua. Aku benar benar hampir jadi gelandangan disini.",0
"@bboliv @FWBFESS_ Mending, aku smpe pandemi berakhir kayanya",0
RSKD Duren Sawit Rawat 82 Pasien Positif Corona. #merahputih #Covid_19 #Jakarta #rumahsakit https://t.co/6aZmbCmhv7,1
"Hi Beauty Lovers!

Selama beraktivitas #dirumahaja kamu tetap bisa tampil maksimal loh! Karena walau #dirumahaja, dengan tampil percaya diri, kamu akan jadi lebih semangat dalam menghadapi hari!

Boost mood kamu dan… https://t.co/2PwR9xlTTy",2
Reposted from larcband Buat kalian yang butuh hiburan live music pas lagi #dirumahaja . Hari Sabtu tanggal 25 April 2020 jam 20.00 WIB kami bakal perform live di Instagram kami dengan durasi 1 jam FOR FREE. Kalian… https://t.co/8E962mMIcL,1
@jokowi Saya mekanik pak ktp kampung tinggal di tangerang.krj di jakarta kena dampak psbb dan covid19.saya g mudik pak.udah sebulan saya g ada penghasilan ada anak ada istri tolong bantu saya pak gimana biar dpt kombensasi,0
Polres Rembang gencar menertibkan warga yang masih berkerumun di kafe karaoke di tengah pandemi virus Corona. Salah seorang di antaranya seorang kepala desa. #Rembang #VirusCorona https://t.co/pHfRoTaNJJ,1
"Terpaksa harus ke supermarket untuk belanja kebutuhan, Sob? Oh, tak perlu khawatir~

Sebelum berangkat, simak dulu tips berbelanja di supermarket berikut agar tetap aman selama pandemi Covid-19 👍

#lawancovid19 #tipsbelanja #tipsbelanjaaman https://t.co/nSajYmhwlD",1
"Dalam blognya, Gates Notes, Bill Gates membahas berbagai hal soal pandemi corona dan upaya untuk mengatasinya. https://t.co/Jgv8rna1Tv",1
@fitrinafadza Itu jangankan covid. Ghibah tetangga pun gaakan mempan masuk itu...,0
"Dalam hati, berharap banget nih setelah pandemi Corona berakhir bisa langsung nonton LIVE Kunto Aji di TKP dan bisa menangin challengenya juga di periode ini, uhuuuy #MagerWithDCODE",2
"Seminar wajib 2 , gw blum ambil samsek dr awal wkwk udh smster 6, corona :) ga ad seminar dongg wkwk",2
"Butuh Kesadaran,Kerjasama dan Dukungan dari Masyarakat dalam Pelaksanaan PSBB untuk memutus  mata rantai penyebaran Virus Covid 19.@Kota_Tangerang @HumasTangerang @TangerangLIVE @KecTangerang @tng_tv @AboutTNG @kampungsigacor @PSBB @alambanten @likebanten https://t.co/IzqRV9SZt4",2
"Perpu harus ditolak, tapi alkes rapid test, APD, PCR harus tersedia sebanyak mungkin. Seluruh rakyat  terdampak Corona harus dapat bantuan sosial, tapi pemerintah tidak boleh tambah utang. Kadang saya pikir itu kritik atau kentut.",0
15 Langkah Praktis Tingkatkan Imunitas Tubuh Saat Berpuasa di tengah Pandemi Corona - https://t.co/8ouOmAkUtH,1
akhirnya saya menemukan bakat saya yg tersembunyi berkat pandemi,1
@lukimukti @blogdokter Sekali-kali hrs rehat dr medsos. Saat ini TV &amp; medsos memang beritanya ttg COVID-19 trus. Klu ga bs piknik ya mending nonton yg lain dulu,0
"08.19 #BeritaSONORA - Di Tengah Pandemi Corona Ini, Warga Diminta Tak Mudik saat Corona,Menag: Mudharatnya Lebih Banyak: Menteri Agama Fachrul Razi meminta masyarakat utk tidak mudik ke kampung halaman di tengah pandemi virus corona atau Covid-19. https://t.co/WgfS6yD2Ou",1
"Di tengah pandemi, sulitnya mendapatkan bahan makanan juga dirasakan oleh aktris Eriska Rein. Namun ia mengakalinya dengan menggunakan Bumbu Racik untuk memasak https://t.co/JOxZoGGg4V",2
"Darurat PHK Saat Pandemi Covid-19, Ini Yang Dilakukan PC SPAI FSPMI DKI https://t.co/N1hhtQH7d8",1
"@HisyamAk Coba gaada corona,lu gabakal bales twit ini",0
"Abis masa Corona selesai mau hunting foto tempat"" bersejarah/ Kuburan lama 😶.",2
"Di lepas bukan karena covid-19, tapi karena negara sudah tidak mampu menjamin mereka di dalam bui,
Dan juga baiknya bila di Yasonna di pecat pak @jokowi https://t.co/aOzWvbc8ef",0
"Corona ilang, gw pengen berlama-lama di gunung!! https://t.co/IVrblCsZwM",2
@MRTNZIG_ ngabuburit di tengah pandemi,2
@MardaniAliSera Ya udah pak mar mudik aja ..dan mga oleh oleh corona buat pak mar aja.kgk usah di bagi  bagi ya,0
"Mengeringkan Tangan Setelah Mencuci Tangan Dapat Cegah Penyebaran Virus Corona, Kok Bisa? https://t.co/a2Aav8dCAq",1
"Jadi Sorotan di Tengah Pandemi, Menengok Reaksi Warganet Untuk Para Menteri Jokowi https://t.co/lO9keHp63v",1
"Kalau baca cerita gejala corona, jadi ikutan susah nafas.",0
Bupati Sragen Instruksikan Kades Salurkan BLT Bagi Warga Terdampak Pandemi Korona  https://t.co/0MwHzB33nF,2
"@USConGenSby Benar yang dikatakan oleh @USConGenSby 
Saya Terkena Dampak Wabah COVID-19 yakni Saya tidak bisa kunjungan ke Kampung halaman yakni Surabaya dan Palangkaraya 
.
Bulan Suci Ramadhan Harus tetap Semangat ., Banyak berdoa Agar wabah ini cepat berakhir",2
"Guys...Mari bantu kelompok masyarakat yang terdampak Wabah Covid-19 terutama Yatim Piatu, fakir miskin, Lansia, kelompok disabilitas yang belum mendptkan bantuan sosial. 

#DemokratPeduliDanBerbagi https://t.co/NKil95QhZ8",2
"Kacau bener negara sekarang, pandemi ga jelas ngurusnya, aktivis2 ditangkapin. 

Gw kalo jd anak presiden ga bisa tidur tenang kali malem2 boro2 post IG redbal redbul",0
"Petani Minahasa Panen Raya Padi dan Jagung, Pandemi Covid-19 Tak Masalah-https://t.co/OxPoo03fDX",2
Sikuvid dan Sikevid yang merupakan alat ukur kesehatan fisik dan pikis masyarakat https://t.co/wLVCeBSYz0,1
"@ekklesia_tirza Yaampunnn !! di sbux sarinah oii ngomongnya trs ktm si karmel trs diajak makan di gang daerah sabang 🥰thankyou echa sudah perhatian sm aku donutnya ludes, semoga covid berlalu kita laksanakan ya 🖤🖤🖤",2
Insya Allah perjuangan kita ditengah pandemi akan membuahkan hasil nyata --&gt;#SambutRamadhanKita &lt;-- #bo5n,2
Dokter Puskesmas di Mojokerto Positif Corona #TauCepatTanpaBatas #BeritaTerkini  . https://t.co/NbhNaCodrd,1
@titisapto Gimana dong season 5 ketunda Corona 😢,0
"@d_coffeeandme_ Gagal lagi setelah banjir, kemacetan, rumah Dp 0%, sekarang Covid-19",0
Selama ini perhatian dan bantuan publik lebih banyak terpusat kepada masyarakat perkotaan yang terdampak secara ekonomi akibat persebaran wabah virus Corona (Covid-19). Pemberitaan terkait penanganan dampak Covid untuk masyarakat kota tersebar setiap hari. AyoBantuNelayan,2
"Update COVID19 di RI : 7.135 Positif, 616 Meninggal, 842 sembuh. Di DKI : 1.226 jenazah dimakamkan dg protap COVID19 https://t.co/vacXaIzM4w",2
"https://t.co/bjlLkwhoJt

Kolom Website Pusat Penelitian Politik-LIPI #5 Eds.COVID-19

*Wilayah Perbatasan Indonesia di Tengah Pandemi COVID-19*

oleh Anta Nasution, M.Han _Peneliti P2P-LIPI_",1
"Selamat bersahur dan menunaikan ibadah puasa Ramadhan 
Mari kita ikuti saran dan himbauwan pemerinta demi kepentingan betsama dslam membrantas wabah covid 1,9. https://t.co/hp3zo38uUh",2
"Lagi #dirumahaja  itu paling cocok nonton acara travelling.
😊😊😊...
#TravellerArgentina 
#AhnJaeHong  💙💙 https://t.co/ZC2VoaMjuk",2
"Sing ora manut anjurane pemerintah,mugo"" gek keno corona.
Mangkel aku...(kpn rampunge pandemi iki).",2
"#TwitterPleaseDoYourMagic Dijual cepat, second like new, Novation Launchkey Mini MK2. Dijual 1.4jt aja (bisa nego). Sekuttt #novation #launckey #mk25 . Corona sucks 🙏🏻 Lokasi : Karawaci, Tangerang https://t.co/pHLGhNf0Od",1
"Perindo berbagi masker, vitamin &amp; sembako di tengah pandemi di berbagai daerah

Untuk ringankan beban masyarakat, hadapi masa-masa sulit ini

#BersatuHadapiCorona, pandemi ini pasti bisa kita lalui 🙏

#GerakanMaskerKain #bersatuhadapicorona #Jagajarak #HaryTanoesoedibjo https://t.co/QRU7GMH1Fq",2
"Saat tenaga medis mempelajari lebih lanjut tentang apa yang membuat virus Corona begitu parah, mereka menemukan adanya komplikasi misterius. #Coronavirus 

via @detikHealth https://t.co/3aNakYQm0h",1
"Tadinya mo ngetag calon suami tapi gapunya...  
Ydh gajadi ngetag... 
#dirumahaja https://t.co/Rj2Jv2tq8K",1
"Terlengkap Ribuan Koleksi, Ready Size &amp; Glam Colours🔥budget tipis covid19 ?? Tetap hemat, exist ootd di rumah, Gak perlu buang duit Jutaan Baju India Mewah 😘😘❤️🔥 Feel Free Open collaboration Business Bollywood Make… https://t.co/kPWOMT2fhq",1
"@devy215 @lukmanalwahid @NajwaShihab Biarin di bilang pekok yg penting tidak pekok,dlm konteks ini menurut sy nana benar mo mudik mo pulkam sama2 terjadi perpindahan orang dan saat ini berbahaya krn bisa menularkan covid.",0
"@haecheun Iyaa coba bsk di cek dulu atmnya, siaoa tau masih ada saldonya, amiin.. Aku sih ada buat beli 1 album tapi lagi pandemi kayak gini gak ada pemasukan uang lagi 😭😭😭😭",0
"[RISET] Keterbukaan data merupakan salah satu upaya membendung penyebaran virus korona. Data tersebut penting sebagai dasar penentuan  pola penyebaran virus dan penyusunan kebijakan kesehatan yang tepat sasaran.

#Riset #adadikompas #COVIDー19 
https://t.co/KDLJqRQ0la",2
DPR Awasi Perppu Corona Agar Tidak Terjadi Penyelewengan. #merahputih #DPR #Covid_19 https://t.co/m32dSzlH7s,2
Dishub Lampung Selatan Simulasi Check Point Corona https://t.co/rsCqxT8GDM https://t.co/ZC6QuklOVs,1
"Asal Disiplin, Gubernur Nurdin Abdullah Yakini Pandemi Corona Berakhir Sebelum Lebaran

https://t.co/I1CCfCQcNA",2
"Sebagai bentuk apresiasi kepada Kartini masa kini, khususnya yang ikut membantu mengatasi Covid-19, @hariankompas memberikan diskon belanja 50% kepada siapa saja yang menggunakan kode KARTINI50. Promo berlaku 21-26 April 2020. Klik di sini:
https://t.co/T4yjXiykRq https://t.co/bdbfsAAnOK",2
"Corona buru kek musnah.
Gua mau jalan2 ni ahelah.
-_-",0
Masjid bisa menjadi pusat bantuan sosial untuk warga terdampak Covid-19. https://t.co/I3jjYDxQ54,1
Dulu Hari Sabtu-Minggu atau tanggal merah tuh berasa spesial banget... Karena di hari itu gw bs istirahat total &amp; nikmatin nonton film atau maen game. Tapi setelah ada pandemi COVID-19 + WFH hari Sabtu-Minggu tuh biasa aja gak ada spesial2 nya sm kyk hari yg lainnya 😅,0
